,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
1003,Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,"G Gambhir, V Sehwag, S Dhawan, MK Tiwary, TM Dilshan","Sohail Tanvir, SR Watson, MM Patel",28
1004,Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,"PA Patel, S Vidyut, SK Raina","IK Pathan, S Sreesanth, RR Powar, VRV Singh",35
1005,Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,"NK Patel, SA Asnodkar, Kamran Akmal","M Ntini, MS Gony",41
1006,Newlands,2,Chennai Super Kings,Mumbai Indians,"PA Patel, SK Raina, ML Hayden, A Flintoff","SL Malinga, Z Khan, DJ Bravo",40
1007,Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith, SA Asnodkar, NK Patel, T Henderson","P Kumar, DW Steyn, R Vinay Kumar",14
1008,Newlands,2,Delhi Daredevils,Kings XI Punjab,"G Gambhir, V Sehwag","IK Pathan, YA Abdulla, VS Malik, VRV Singh, PP Chawla",58
1009,Newlands,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist, HH Gibbs, VVS Laxman, RG Sharma","AB Dinda, I Sharma",37
1010,St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,"P Kumar, JH Kallis, RV Uthappa, LRPL Taylor","MS Gony, L Balaji, JA Morkel",46
1011,Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,"BB McCullum, CH Gayle, BJ Hodge","IK Pathan, YA Abdulla, VS Malik",60
1012,Newlands,2,Royal Challengers Bangalore,Deccan Chargers,"JD Ryder, JH Kallis, RV Uthappa, KP Pietersen","FH Edwards, RP Singh, Harmeet Singh",31
1013,Kingsmead,2,Chennai Super Kings,Delhi Daredevils,"PA Patel, ML Hayden, SK Raina","DP Nannes, A Nehra, AM Salvi, PJ Sangwan",61
1014,Newlands,2,Kolkata Knight Riders,Rajasthan Royals,"CH Gayle, BB McCullum, LR Shukla","YK Pathan, AD Mascarenhas",38
1015,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,"RS Bopara, K Goel","P Kumar, Pankaj Singh, JH Kallis, R Vinay Kumar",44
1016,Kingsmead,2,Mumbai Indians,Deccan Chargers,"ST Jayasuriya, SR Tendulkar, JP Duminy","FH Edwards, RP Singh, Harmeet Singh",50
1017,St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir, V Sehwag, TM Dilshan, AB de Villiers","R Vinay Kumar, Pankaj Singh, JH Kallis",43
1018,Newlands,2,Rajasthan Royals,Kings XI Punjab,"SA Asnodkar, GC Smith, RJ Quiney, YK Pathan, AD Mascarenhas, RA Jadeja","RR Powar, IK Pathan, YA Abdulla, VRV Singh",32
1019,Kingsmead,2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist, HH Gibbs, VVS Laxman","L Balaji, MS Gony, JA Morkel, M Muralitharan, SK Raina",69
1020,St George's Park,2,Kolkata Knight Riders,Mumbai Indians,"BB McCullum, CH Gayle, BJ Hodge, SC Ganguly","Z Khan, SL Malinga, DJ Bravo, Harbhajan Singh",47
1021,SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,"RJ Quiney, GC Smith, SA Asnodkar, PC Valthaty","DP Nannes, A Nehra, PJ Sangwan",33
1022,Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,"JH Kallis, SP Goswami","I Sharma, AB Agarkar, M Kartik, CH Gayle",46
1023,Kingsmead,2,Mumbai Indians,Kings XI Punjab,"ST Jayasuriya, S Dhawan, SR Tendulkar, JP Duminy, DJ Bravo","IK Pathan, VS Malik, RR Powar, YA Abdulla",23
1024,SuperSport Park,2,Delhi Daredevils,Deccan Chargers,"G Gambhir, V Sehwag, AB de Villiers, TM Dilshan","FH Edwards, RP Singh, Shoaib Ahmed",41
1025,SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,"RJ Quiney, GC Smith, SA Asnodkar, RA Jadeja","S Tyagi, JA Morkel, JDP Oram",38
1026,Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,"CH Gayle, SC Ganguly, BJ Hodge, MN van Wyk","Z Khan, GR Napier, Harbhajan Singh, SL Malinga",26
1027,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,"Yuvraj Singh, K Goel","P Kumar, JH Kallis, JD Ryder",35
1028,St George's Park,2,Rajasthan Royals,Deccan Chargers,"GC Smith, SA Asnodkar, LA Carseldine, NV Ojha, RA Jadeja","FH Edwards, RP Singh, DR Smith",30
1029,New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,"G Gambhir, DA Warner, AB de Villiers, TM Dilshan","JA Morkel, S Tyagi",49
1030,St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,"S Sohal, KC Sangakkara, SM Katich, DPMD Jayawardene","I Sharma, AB Dinda, CH Gayle, AB Agarkar",51
1031,New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"JH Kallis, W Jaffer, RV Uthappa","Z Khan, DJ Bravo, SL Malinga, AM Nayar",51
1032,Buffalo Park,2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist, VVS Laxman, HH Gibbs, RG Sharma, DR Smith","JA Morkel, S Tyagi, L Balaji",52
1033,Kingsmead,2,Kings XI Punjab,Rajasthan Royals,"S Sohal, K Goel, KC Sangakkara, SM Katich, DPMD Jayawardene","A Singh, SM Harwood, YK Pathan, SK Trivedi",29
1034,Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir, DA Warner","I Sharma, AB Dinda, MC Henriques, BJ Hodge",57
1035,SuperSport Park,2,Mumbai Indians,Deccan Chargers,"ST Jayasuriya, SR Tendulkar, JP Duminy, PR Shah","RJ Harris, RP Singh, Harmeet Singh, DR Smith",41
1036,SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith, NV Ojha, LA Carseldine","P Kumar, JH Kallis, D du Preez",31
1037,SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,"S Sohal, K Goel, SM Katich","JA Morkel, S Tyagi, MS Gony, M Muralitharan",53
1038,Buffalo Park,2,Delhi Daredevils,Mumbai Indians,"G Gambhir, DA Warner","SL Malinga, DS Kulkarni",36
1039,De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,"S Sohal, SM Katich, KC Sangakkara, Yuvraj Singh","RJ Harris, RP Singh, Shoaib Ahmed, RG Sharma, Y Venugopal Rao",45
1040,De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,"M Vijay, ML Hayden, SK Raina","YK Pathan, A Singh, SK Trivedi, SM Harwood",37
1041,St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,"JH Kallis, V Kohli, RV Uthappa, LRPL Taylor","DS Kulkarni, SL Malinga, DJ Bravo",39
1042,New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir, DA Warner","I Sharma, MC Henriques, AB Agarkar, SS Sarkar, BJ Hodge",47
1043,De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,"GC Smith, SA Asnodkar, LA Carseldine, NV Ojha","RP Singh, WPUJC Vaas, A Symonds",30
1044,SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,"JD Ryder, JH Kallis","I Sharma, BAW Mendis, AB Agarkar, AD Mathews, DJ Hussey",46
1045,SuperSport Park,2,Mumbai Indians,Kings XI Punjab,"ST Jayasuriya, DJ Bravo, AM Rahane, SR Tendulkar","B Lee, IK Pathan, S Sreesanth, PP Chawla",42
1046,Kingsmead,2,Deccan Chargers,Delhi Daredevils,"TL Suman, AC Gilchrist, RG Sharma, DB Ravi Teja","A Nehra, DP Nannes, PJ Sangwan",50
1047,Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,"RV Uthappa, JH Kallis, R Dravid, LRPL Taylor, V Kohli","JA Morkel, S Tyagi, L Balaji",33
1048,Kingsmead,2,Mumbai Indians,Rajasthan Royals,"DJ Bravo, YV Takawale, AM Rahane, SR Tendulkar, ST Jayasuriya","YK Pathan, MM Patel, SK Trivedi, SK Warne",26
1049,OUTsurance Oval,2,Kings XI Punjab,Delhi Daredevils,"S Sohal, SM Katich, LA Pomersbach, Yuvraj Singh, KC Sangakkara","A Nehra, PJ Sangwan, MF Maharoof",37
1050,St George's Park,2,Chennai Super Kings,Mumbai Indians,"PA Patel, SK Raina, ML Hayden, S Badrinath","SL Malinga, DS Kulkarni, DJ Bravo",35
1051,New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist, HH Gibbs","I Sharma, Mashrafe Mortaza, M Kartik, BJ Hodge",50
1052,New Wanderers Stadium,2,Deccan Chargers,Kings XI Punjab,"AC Gilchrist, HH Gibbs, TL Suman, A Symonds","B Lee, IK Pathan, S Sreesanth, RR Powar",46
1053,OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,"RJ Quiney, GC Smith, NV Ojha, J Botha","A Nehra, DP Nannes, AM Salvi, MF Maharoof",24
1054,SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,"BB McCullum, SC Ganguly, BJ Hodge","JA Morkel, S Tyagi, M Muralitharan",56
1055,New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"RV Uthappa, JH Kallis, R Dravid","A Nehra, AM Salvi, MF Maharoof",27
1056,Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,"BB McCullum, SC Ganguly, Yashpal Singh, BJ Hodge, DJ Hussey","MM Patel, A Singh",29
1057,Kingsmead,2,Kings XI Punjab,Chennai Super Kings,"S Sohal, SM Katich, LA Pomersbach","MS Gony, T Thushara, M Muralitharan, R Ashwin",29
1058,SuperSport Park,2,Delhi Daredevils,Mumbai Indians,"G Gambhir, DA Warner, V Sehwag","SL Malinga, DS Kulkarni, RA Shaikh",60
1059,SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, HH Gibbs","A Kumble, JH Kallis, P Kumar, RE van der Merwe",64
1060,SuperSport Park,2,Deccan Chargers,Delhi Daredevils,"AC Gilchrist, HH Gibbs, AA Bilakhia","DP Nannes, A Nehra, PJ Sangwan, TM Dilshan, V Sehwag",84
1061,New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"JH Kallis, MK Pandey, RE van der Merwe, R Dravid","JA Morkel, MS Gony, SB Jakati",59
1062,New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,"JH Kallis, MK Pandey, RE van der Merwe","RJ Harris, RP Singh, A Symonds",36
1063,Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist, VVS Laxman","CK Langeveldt, I Sharma, LR Shukla, M Kartik",62
1064,Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,"GC Smith, NV Ojha, AA Jhunjhunwala","Z Khan, R McLaren, SL Malinga, AG Murtaza",39
1065,"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,"G Gambhir, V Sehwag, TM Dilshan, AB de Villiers","IK Pathan, S Sreesanth",39
1066,Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"BJ Hodge, MK Tiwary","P Kumar, JH Kallis, DW Steyn, A Kumble",61
1067,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Deccan Chargers,"M Vijay, ML Hayden, SK Raina, S Badrinath, JM Kemp, MS Dhoni","WPUJC Vaas, RG Sharma, RP Singh, PP Ojha",34
1068,"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,"G Gambhir, V Sehwag, TM Dilshan, AB de Villiers","AD Mascarenhas, SW Tait, MM Patel",60
1069,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"MK Pandey, JH Kallis","IK Pathan, S Sreesanth, YA Abdulla",61
1070,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"BJ Hodge, SC Ganguly, MK Tiwary, WP Saha, OA Shah","JA Morkel, MS Gony, L Balaji",45
1071,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"TM Dilshan, V Sehwag, AB de Villiers","Z Khan, SL Malinga, DJ Bravo, KA Pollard",56
1072,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"MK Pandey, JH Kallis","MM Patel, M Morkel, SK Warne",59
1073,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,"PA Patel, ML Hayden, S Badrinath","DP Nannes, UT Yadav, PJ Sangwan, R Bhatia",56
1074,Barabati Stadium,2,Kings XI Punjab,Deccan Chargers,"RS Bopara, MS Bisla, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene","WPUJC Vaas, RP Singh, A Symonds",27
1075,"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,"MK Tiwary, BJ Hodge, CA Pujara","YK Pathan, SW Tait, MM Patel, SK Trivedi",38
1076,Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"MK Pandey, JH Kallis","Z Khan, SL Malinga, DJ Bravo, KA Pollard",55
1077,Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,"DA Warner, V Sehwag, AB de Villiers","WPUJC Vaas, RP Singh, PP Ojha, RG Sharma",48
1078,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,"PA Patel, ML Hayden","IK Pathan, RR Powar, SJ Srivastava, J Theron",42
1079,Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,"S Dhawan, SR Tendulkar","SE Bond, I Sharma, CH Gayle",57
1080,M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel, ML Hayden, GJ Bailey","P Kumar, DW Steyn, A Kumble, JH Kallis",29
1081,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,"RS Bopara, KC Sangakkara, MS Bisla","MM Patel, SW Tait, SK Warne",76
1082,"Brabourne Stadium, Mumbai",2,Mumbai Indians,Chennai Super Kings,"S Dhawan, SR Tendulkar","JA Morkel, L Balaji, Joginder Sharma",63
1083,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,"MJ Lumb, NV Ojha","WPUJC Vaas, RP Singh, RG Sharma, R Sharma",54
1084,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Kolkata Knight Riders,"RS Bopara, MS Bisla, Yuvraj Singh, KC Sangakkara","SE Bond, AB Dinda, CH Gayle, AB Agarkar",42
1085,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"MK Pandey, JH Kallis","DP Nannes, UT Yadav, PJ Sangwan",46
1086,"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,"M Vijay, ML Hayden, SK Raina","YK Pathan, S Narwal, SW Tait",58
1087,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,"AC Gilchrist, HH Gibbs, MD Mishra, A Symonds","Harbhajan Singh, R McLaren, Z Khan, SL Malinga",50
1088,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"CH Gayle, SC Ganguly, Mandeep Singh, MK Tiwary, DJ Hussey","DP Nannes, AB McDonald, A Mishra",36
1089,Brabourne Stadium,2,Mumbai Indians,Kings XI Punjab,"S Dhawan, SR Tendulkar, KA Pollard","B Lee, SJ Srivastava, IK Pathan, VS Malik, PP Chawla",45
1090,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"M Vijay, ML Hayden","P Kumar, DW Steyn, A Kumble, JH Kallis",56
1091,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,"MJ Lumb, NV Ojha, FY Fazal, AA Jhunjhunwala, AC Voges, YK Pathan","MF Maharoof, AB McDonald, A Mishra, UT Yadav",39
1092,Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,"HH Gibbs, AC Gilchrist, MD Mishra","MB Parmar, SE Bond, AB Agarkar, M Kartik",59
1093,"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,"MK Pandey, JH Kallis, KP Pietersen","B Lee, S Sreesanth, SJ Srivastava, PP Chawla",51
1094,"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,"MJ Lumb, NV Ojha","JA Morkel, DE Bollinger, S Tyagi",62
1095,Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,"HH Gibbs, AC Gilchrist, VVS Laxman, A Symonds","Harbhajan Singh, SL Malinga, Z Khan, DJ Bravo",40
1096,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"MS Bisla, DPMD Jayawardene, KC Sangakkara","SE Bond, JD Unadkat, M Kartik, CH Gayle",69
1097,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"JH Kallis, CL White, KP Pietersen","MF Maharoof, A Mishra, DL Vettori",38
1098,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,"VVS Laxman, AC Gilchrist, RG Sharma, A Symonds","YK Pathan, SR Watson, AP Dole, M Morkel",52
1099,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"S Dhawan, SR Tendulkar","S Tyagi, DE Bollinger, R Ashwin",46
1100,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"MJ Lumb, NV Ojha","S Sreesanth, RR Powar, J Theron, PP Chawla",70
1101,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"DA Warner, G Gambhir, V Sehwag","AB Dinda, AB Agarkar, AD Mathews, BAW Mendis",44
1102,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, MD Mishra, TL Suman","P Kumar, A Kumble, DW Steyn, JH Kallis",32
1103,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"AB Barath, DPMD Jayawardene, KC Sangakkara","R McLaren, Z Khan, SL Malinga, Harbhajan Singh",56
1104,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Chennai Super Kings,"MD Mishra, AC Gilchrist, TL Suman, RG Sharma","R Ashwin, DE Bollinger, SB Jakati",37
1105,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"S Sriram, JH Kallis, R Dravid","AB Dinda, I Sharma, AB Agarkar",48
1106,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"DPMD Jayawardene, IK Pathan","A Nehra, MF Maharoof, A Mishra, R Bhatia",39
1107,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"MJ Lumb, NV Ojha, FY Fazal, SR Watson, AA Jhunjhunwala","Z Khan, DS Kulkarni, SL Malinga",34
1108,"Vidarbha Cricket Association Stadium, Jamtha",2,Royal Challengers Bangalore,Deccan Chargers,"MK Pandey, R Dravid, JH Kallis","RJ Harris, RP Singh, A Symonds, PP Ojha",38
1109,Brabourne Stadium,2,Delhi Daredevils,Mumbai Indians,"DA Warner, V Sehwag, G Gambhir","Z Khan, CRD Fernando, Harbhajan Singh, DJ Bravo",69
1110,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,"M Vijay, ML Hayden, SK Raina","CH Gayle, AB Dinda, AB Agarkar",67
1111,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"MK Pandey, JH Kallis, KP Pietersen, RV Uthappa","SR Watson, Kamran Khan, SK Trivedi, AC Voges",59
1112,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"V Sehwag, DA Warner, TM Dilshan, G Gambhir, KD Karthik","R Ashwin, DE Bollinger",33
1113,Himachal Pradesh Cricket Association Stadium,2,Deccan Chargers,Kings XI Punjab,"AC Gilchrist, MD Mishra, TL Suman","VS Malik, IK Pathan, SJ Srivastava, J Theron",45
1114,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"MK Pandey, JH Kallis, KP Pietersen, R Dravid","Z Khan, CRD Fernando, R McLaren",34
1115,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"SC Ganguly, BB McCullum, CH Gayle, CA Pujara","YK Pathan, SR Watson, Kamran Khan",42
1116,Himachal Pradesh Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,"M Vijay, ML Hayden, SK Raina, S Badrinath","RR Powar, IK Pathan, VRV Singh",49
1117,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,"DA Warner, V Sehwag, TM Dilshan, G Gambhir, M Manhas","WPUJC Vaas, MR Marsh, Harmeet Singh, A Symonds",39
1118,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"SC Ganguly, BB McCullum","AG Murtaza, CRD Fernando, R McLaren, DJ Bravo",44
1119,Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Mumbai Indians,"JH Kallis, R Dravid, KP Pietersen","Z Khan, CRD Fernando, SL Malinga",44
1120,Dr DY Patil Sports Academy,2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist, HH Gibbs, TL Suman, RG Sharma","R Ashwin, DE Bollinger",23
1121,Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Deccan Chargers,"JH Kallis, R Dravid","RJ Harris, A Symonds, PP Ojha",33
1122,Dr DY Patil Sports Academy,2,Mumbai Indians,Chennai Super Kings,"S Dhawan, SR Tendulkar, AM Nayar","R Ashwin, DE Bollinger, JA Morkel",33
1123,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"MS Bisla, JH Kallis","JA Morkel, TG Southee, R Ashwin, S Randiv",52
1124,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,"AG Paunikar, R Dravid, J Botha","PP Ojha, DW Steyn, I Sharma, DT Christian",31
1125,Nehru Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,"MA Agarwal, TM Dilshan, V Kohli, AB de Villiers","RP Singh, S Sreesanth, RA Jadeja, R Vinay Kumar",48
1126,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"DJ Jacobs, SR Tendulkar, AT Rayudu","AB Dinda, M Morkel, IK Pathan, UT Yadav",31
1127,Dr DY Patil Sports Academy,2,Pune Warriors,Kings XI Punjab,"GC Smith, M Manhas, JD Ryder","P Kumar, NJ Rimmington, R McLaren, PP Chawla",44
1128,Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,"S Dhawan, IR Jaggi, B Chipli, KC Sangakkara","Iqbal Abdulla, L Balaji, YK Pathan, JD Unadkat",30
1129,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,"AG Paunikar, R Dravid, J Botha","AB Dinda, M Morkel, IK Pathan, RE van der Merwe",57
1130,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"DJ Jacobs, SR Tendulkar, AT Rayudu","Z Khan, DL Vettori, DP Nannes, A Mithun",40
1131,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,"PC Valthaty, AC Gilchrist","R Ashwin, TG Southee, JA Morkel",65
1132,Dr DY Patil Sports Academy,2,Pune Warriors,Kochi Tuskers Kerala,"JD Ryder, GC Smith, M Manhas","RP Singh, S Sreesanth, M Muralitharan, R Vinay Kumar",44
1133,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"MA Agarwal, TM Dilshan, Z Khan, V Kohli, AB de Villiers","DW Steyn, I Sharma, MS Gony",28
1134,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"MS Bisla, JH Kallis, G Gambhir","AL Menaria, A Singh, SR Watson, ND Doshi",62
1135,Wankhede Stadium,2,Kochi Tuskers Kerala,Mumbai Indians,"BB McCullum, DPMD Jayawardene","SL Malinga, MM Patel, AG Murtaza, KA Pollard",50
1136,"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,"MA Agarwal, TM Dilshan, AUK Pathan, V Kohli, AB de Villiers","JA Morkel, TG Southee, R Ashwin",33
1137,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,"AC Gilchrist, PC Valthaty","DW Steyn, I Sharma, MS Gony",62
1138,Dr DY Patil Sports Academy,2,Delhi Daredevils,Pune Warriors,"DA Warner, V Sehwag","AC Thomas, SB Wagh, WD Parnell",67
1139,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"JH Kallis, G Gambhir, MS Bisla","SW Tait, SR Watson, SK Warne",26
1140,Nehru Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,"BB McCullum, DPMD Jayawardene, PA Patel","JA Morkel, DE Bollinger, R Ashwin, TG Southee",49
1141,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,"DA Warner, V Sehwag, NV Ojha, AJ Finch, Y Venugopal Rao","DW Steyn, DT Christian, Harmeet Singh",38
1142,Wankhede Stadium,2,Mumbai Indians,Pune Warriors,"JEC Franklin, SR Tendulkar, AT Rayudu","AC Thomas, SB Wagh, M Kartik, WD Parnell",32
1143,Eden Gardens,2,Kolkata Knight Riders,Kochi Tuskers Kerala,"MS Bisla, JH Kallis, G Gambhir, MK Tiwary","RP Singh, R Vinay Kumar, RA Jadeja",37
1144,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"SA Asnodkar, R Dravid, SR Watson, STR Binny","P Kumar, RJ Harris, BA Bhatt",45
1145,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"MEK Hussey, M Vijay, SK Raina, S Badrinath","MM Patel, SL Malinga, AN Ahmed, Harbhajan Singh",44
1146,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"TM Dilshan, CH Gayle","YK Pathan, L Balaji, JD Unadkat, Shakib Al Hasan",57
1147,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"AC Gilchrist, PC Valthaty, SE Marsh","M Morkel, IK Pathan",46
1148,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,"S Sohal, S Dhawan, KC Sangakkara, CL White","MM Patel, Harbhajan Singh, AN Ahmed, SL Malinga",41
